f,att_rot,res_med,G11,G12,G13,G21,G22,G23,G31,G32,G33,O1,O2,O3
36.5,"[0.9977268108911763, -0.060620925275613864, 0.029433955252738668]",2676.8460133517906,-121.27576195854867,-5.044380479794891,-4.468584831124682,-107064.16839409822,-2.870358140914667,-121.17439090768845,-0.2770521537594963,17268.407985087746,-2.7363663799544744,-2.3947636905245298,90.54859426436494,-99773.31651671986
36.5,"[0.9823216792885655, -0.14666912799327095, 0.11632835120204472]",2747.0666275768167,-121.44659288607834,-3.5716840642645264,-4.420471645677979,-245469.1914091338,-1.3072838740318649,-122.3694684169347,-0.2588048467343756,210881.1644302179,-2.8605241226190254,-2.1452316638995454,89.86842222752598,-97410.92447852128
36.5,"[0.9847339212181178, -0.12945066955181483, 0.11636850327720492]",2751.1898072152144,-121.23943041005485,-3.750524307133568,-4.4163654382377,-265896.6818738284,-1.4793222557735648,-122.0618536310022,-0.2569874777658069,239487.61767771357,-2.8442704061740045,-2.1594000021397033,89.81357300785623,-97486.35529526285
36.5,"[0.986845423667476, -0.11219273179104486, 0.1163997453597842]",2755.5864324936697,-121.01010809561932,-3.9651822535646604,-4.4122217054348365,-286555.472324023,-1.6894305392096054,-121.70739568126145,-0.25540146764175425,268438.95853091066,-2.828490605080436,-2.1730266571362344,89.76187857135838,-97546.20885446777
36.5,"[0.9886555434525397, -0.09490057164598431, 0.11642206793314154]",2760.3420895618906,-120.76047813950878,-4.21331691188314,-4.408053528795801,-307389.0750760156,-1.9351575172830455,-121.30951492858412,-0.2540379529270621,297654.8257027807,-2.813184083863065,-2.186122046780326,89.71342327019055,-97591.00124361365
36.5,"[0.9901637291932872, -0.07757945647612632, 0.11643546419760485]",2766.3738859599994,-120.49236297105844,-4.492621285089557,-4.403873630287221,-328343.98287518363,-2.2140852628531906,-120.87158207605755,-0.2528876243792851,327059.029247208,-2.7983512877650853,-2.198694431835916,89.66828815267228,-97621.23030249788
36.5,"[0.9913695214817317, -0.06023466246094502, 0.1164399300725422]",2772.1499529471134,-120.20754234436326,-4.800839889136789,-4.399694966458222,-349369.8216360484,-2.5238432036584477,-120.39689916000235,-0.2519406980941579,356579.7138178462,-2.783989233362952,-2.210757347322712,89.62655101469053,-97637.44619823588
36.5,"[0.9922725530218615, -0.04287147299272023, 0.11643546419760485]",2778.5692859701257,-119.9077468858735,-5.135777412888591,-4.395530067393636,-370419.3620009995,-2.862122767463541,-119.88868020827552,-0.25118786540926186,386149.4776410777,-2.770092580257468,-2.2223266578411884,89.58828636480844,-97640.19237023426
36.5,"[0.9928725487415215, -0.02549517706716497, 0.11642206793314154]",2785.752146834143,-119.59465076858274,-5.49530852483442,-4.391391511279737,-391448.57686088677,-3.2266859111187833,-119.35003937743932,-0.25061949728201893,415705.3932895034,-2.7566561883506897,-2.2334182699683396,89.55356541586183,-97630.02883982526
36.5,"[0.9931693258762033, -0.008111067672346109, 0.1163997453597842]",2793.8364803219174,-119.26986764809865,-5.877383161893428,-4.387291301272351,-412416.60616114456,-3.615374119323644,-118.7839790673718,-0.2502264064741837,445189.0135394426,-2.7436753060528254,-2.244046510813594,89.52245607759757,-97607.49351567519
36.5,"[0.9931627940247166, 0.009275559823611022, 0.11636850327720492]",2802.9602014837883,-118.9349414763698,-6.280039390250046,-4.3832414610259205,-433285.7395474645,-4.026112764780922,-118.19338366748319,-0.24999892867015375,474546.3013474676,-2.7311398114998817,-2.254233934144029,89.4950229945183,-97573.15430299658
36.5,"[0.9841866682211222, -0.14690200993080405, 0.09897677290201315]",2736.8913138181038,-121.74153413612599,-3.5100857358471202,-4.43461678684867,-194735.3077900401,-1.2649398102728142,-122.67465735042065,-0.2631452731800123,139880.3842879915,-2.8494957889204557,-2.183600799787973,90.05201595282165,-97730.17205848904
36.5,"[0.9866022259771113, -0.129659883291311, 0.0990169801695281]",2736.5293486813057,-121.50815701237136,-3.707806959764131,-4.429999320546594,-215616.76661571095,-1.4563872917662244,-122.32870268752553,-0.26140178053647933,169089.91611876883,-2.8331759571155133,-2.1972912336823973,89.9883777423237,-97808.61333647824
36.5,"[0.9887166308615682, -0.11237822306490801, 0.09904826519693893]",2743.579282523384,-121.252988007697,-3.94081122104488,-4.425343624403869,-236739.3409686902,-1.6853656582953762,-121.93660518400084,-0.25988925080013897,198659.56586168328,-2.817348571536177,-2.2104124089045416,89.92787304851431,-97870.85702959297
36.5,"[0.9905292388062827, -0.09506229341271119, 0.09907061845452325]",2744.7954719217896,-120.97793058159712,-4.206690505306052,-4.420663128701935,-258044.21517285422,-1.9493556761676685,-121.50187818750099,-0.25859819650547944,228505.7033893404,-2.802013242721638,-2.222974910879882,89.8705873567906,-97917.4498707421
36.5,"[0.9920394976733156, -0.07771736893463581, 0.09908403313326222]",2752.666929300185,-120.68484796594936,-4.50308466970249,-4.415971149455622,-279475.809616461,-2.2458805201949454,-121.02797272916563,-0.2575188900280408,258549.15506984096,-2.7871664813962487,-2.234992693920857,89.81660273273864,-97948.97557690855
36.5,"[0.9932469474231858, -0.060348733062701956, 0.09908850514691478]",2757.675556222028,-120.37555537822736,-4.827691996015756,-4.41128089636605,-300981.8421203397,-2.572523847503124,-120.51825378547846,-0.25664146078165817,288715.38630738476,-2.772804073776706,-2.2464811162626797,89.76599780880633,-97966.01785285954
36.5,"[0.9941512202550025, -0.042961676451649944, 0.09908403313326222]",2763.386280024712,-120.05181140334687,-5.1782807184168655,-4.40660528241635,-322513.3983848729,-2.926935674601097,-119.9759914246432,-0.255955947701461,318934.5605761376,-2.758920227263992,-2.2574567853613057,89.71884778839261,-97969.19037053031
36.5,"[0.9947520407185013, -0.02556149536735572, 0.09907061845452325]",2769.943452841955,-119.71531290300689,-5.552695862373516,-4.401957098971597,-344024.9266908319,-3.306847973292672,-119.40434095083177,-0.2554525880469208,349141.57708153594,-2.7455069722690113,-2.2679394979293823,89.67522443933619,-97959.08180058806
36.5,"[0.9950492257979489, -0.008153490073536884, 0.09904826519693893]",2777.4833168812675,-119.36768758793524,-5.948869315752793,-4.397348814353298,-365474.24211887,-3.7100790920935114,-118.80633617929713,-0.2551218021845451,379276.0576597883,-2.732557578986899,-2.277946881093778,89.63519609681833,-97936.29932158142
36.5,"[0.9950426849678912, 0.00925703678275891, 0.0990169801695281]",2786.1604587892257,-119.01049207435479,-6.364822387245158,-4.392792524394282,-386822.44397985854,-4.134540883471946,-118.18488011025481,-0.2549540519913253,409282.27809422335,-2.720062361814322,-2.2875006301145455,89.59882767163538,-97901.43250630423
36.5,"[0.9857518643605085, -0.1470901440930405, 0.08159504531814588]",2728.756506205209,-122.06010000221566,-3.4592623491598578,-4.449896043505796,-143772.9672396927,-1.2327614627545913,-122.99780248168977,-0.2676537520020663,68618.07195273502,-2.839244488041446,-2.2226345481706695,90.2585960294748,-98103.09894088948
36.5,"[0.9881700021406419, -0.12982960137431315, 0.0816352955304924]",2730.9738692352576,-121.80024094592244,-3.6759587568511924,-4.444756304836981,-165148.89154172354,-1.4437047376013088,-122.61319541482352,-0.2659819824423065,98486.37513723288,-2.8228719609557977,-2.235812420438974,90.18602479307917,-98183.72483860151
36.5,"[0.990286665391987, -0.11252948284339329, 0.08166661397301238]",2734.2419094227284,-121.51900092361724,-3.9273551014989074,-4.439578078229992,-186774.19026193913,-1.6915963212293113,-122.18321160560565,-0.26454040072586416,128727.97189501995,-2.8070104581600632,-2.248394026334534,90.11657081202199,-98247.5125068702
36.5,"[0.9921012093584134, -0.09519505828397545, 0.08168899110580487]",2737.280524057647,-121.21832831633922,-4.210985103874663,-4.434375135591799,-208587.75977918183,-1.9738497074001744,-121.71145612983821,-0.26331918342812316,159255.9072698568,-2.7916575849542085,-2.260392758222385,90.0503208191583,-98295.06754227197
