,f,att_rot,res_med,G1,G2,G3,th1,th2,th3,ph1,ph2,ph3,O1/G1,O2/G2,O3/G3
0,233.49,"[0.9890106613051116, -0.14709465383484538, 0.014868665964937194]",435.6900295,122.8585078,124.0930845,87.3827221,90.38587588,88.82762061,2.518824057,18.92806124,-73.71537162,-21.10138192,-1071.341985,407.8046028,-707.5478888
1,233.49,"[0.9314770657831819, -0.3114288614069685, 0.18804930258502034]",1394.85987,111.9661972,101.2561969,87.45870614,90.41627213,88.57804406,1.908930521,28.29498772,-84.41037931,-15.88593763,-2299.05841,2255.410453,-777.4282839
2,233.49,"[0.9417899435960031, -0.27863790999674315, 0.18812925677332656]",1254.203371,112.492804,102.5791095,87.36114017,90.41486696,88.59722702,1.973475487,27.58962636,-83.52507764,-16.57880825,-2695.696069,2862.299897,-808.1305178
3,233.49,"[0.9509522839911906, -0.2455070184519889, 0.18819154461014606]",1142.290527,113.0584149,103.9066219,87.30377368,90.41356808,88.61526331,2.037055009,26.92137572,-82.70132792,-17.21462497,-3118.302604,3500.411794,-841.1462867
4,233.49,"[0.9589529240683237, -0.21207655166063066, 0.18823609020734436]",1027.950618,113.6517072,105.2137272,87.28752927,90.41241912,88.6318546,2.098769586,26.30032079,-81.9490492,-17.7916366,-3564.932186,4167.137877,-876.3770389
5,233.49,"[0.9657821162798723, -0.1783872394968849, 0.18826283929297302]",947.3858504,114.2594726,106.4721714,87.31328505,90.41146759,88.64669286,2.157614155,25.73714906,-81.27839103,-18.30809509,-4032.973216,4859.410491,-913.6505092
6,233.49,"[0.9714315403070835, -0.14448012719818248, 0.18827175927739156]",891.8598246,114.8669053,107.65102,87.38188165,90.41076351,88.65946545,2.212476929,25.24296339,-80.69964203,-18.76207538,-4519.110344,5573.697576,-952.7100198
7,233.49,"[0.9758943131970066, -0.11039652535786915, 0.18826283929297302]",889.6877661,115.4580804,108.7175498,87.49413136,90.41035792,88.66986085,2.262184477,24.82904544,-80.22312683,-19.15165064,-5019.302753,6305.994165,-993.2076314
8,233.49,"[0.9791649977483132, -0.07617795959461088, 0.18823609020734436]",924.6424827,116.0166429,109.6384802,87.65082554,90.41030059,88.67757523,2.305521997,24.50656558,-79.8590927,-19.47472695,-5528.781977,7051.809069,-1034.69988
9,233.49,"[0.9812396091356874, -0.04186611995982424, 0.18819154461014606]",982.0395415,116.5266928,110.3815331,87.85274318,90.41063736,88.68231968,2.341280982,24.28624732,-79.61758045,-19.72904512,-6042.073032,7806.145151,-1076.649306
10,233.49,"[0.9821156197647236, -0.007502810144770555, 0.18812925677332656]",1071.547157,116.9738302,110.91726,88.10066003,90.41140762,88.68382835,2.368322612,24.17799094,-79.50827604,-19.91222657,-6553.04258,8563.473043,-1118.433529
11,233.49,"[0.9371628679983209, -0.3132331090656873, 0.15365799110428624]",1163.369489,113.2581338,103.9241492,87.57778465,90.41184066,88.61121613,1.970474491,27.09592115,-82.88840688,-16.58800459,-1654.573875,1239.062654,-732.6020693
12,233.49,"[0.947532926076797, -0.2802603465890701, 0.1537383886025793]",1014.193461,113.805965,105.3495018,87.43209952,90.41025097,88.63149086,2.038954258,26.3495121,-81.97871623,-17.2734249,-2057.157179,1854.113115,-763.4504461
