f,att_rot,G1,G2,G3,th1,th2,th3,ph1,ph2,,ph3,O1/G1,O2/G2,O3/G3
233.68,-1,130.7775525,133.1285242,100.6854554,91.14635371,89.53925477,2.949113367,18.25882579,-72.39420371,89.02961269,-20.77127721,4322.530474,-7075.073728,85.07779407
233.68,0,130.8447549,133.3388193,100.6246901,91.14498804,89.54049668,2.962740592,18.16763074,-72.30262626,88.85052544,-20.83907336,4323.238677,-7068.017702,87.0867593
233.68,1,130.9096846,133.5470356,100.5617885,91.14362382,89.54173784,2.976365749,18.0764182,-72.21120338,88.67207242,-20.90610917,4322.345972,-7058.777253,88.93351433
233.68,2,130.9723603,133.7531459,100.4967992,91.14226135,89.54297787,2.989976338,17.98521206,-72.1199588,88.49430969,-20.97233498,4319.848167,-7047.355123,90.61275561
233.68,3,131.0328016,133.9571258,100.4297733,91.14090116,89.54421643,3.003569525,17.89403671,-72.02891569,88.31729316,-21.03775151,4315.741535,-7033.755137,92.1232834
233.68,4,131.0910284,134.1589504,100.3607627,91.13954343,89.54545314,3.017138794,17.80291703,-71.93809749,88.14108033,-21.10234121,4310.022837,-7017.9818,93.46246106
233.68,5,131.1470618,134.3585938,100.2898209,91.13818863,89.54668752,3.030680021,17.71187793,-71.84752824,87.96572941,-21.16609834,4302.689508,-7000.040143,94.6287711
233.68,6,131.2009231,134.5560311,100.2170012,91.13683703,89.54791928,3.04417743,17.62094497,-71.75723182,87.79129875,-21.22895952,4293.739413,-6979.936068,95.6160865
233.68,7,131.2526342,134.7512365,100.14236,91.13548912,89.54914805,3.057636404,17.5301439,-71.66723246,87.61784851,-21.29097166,4283.171055,-6957.676119,96.42685516
233.68,8,131.3022165,134.9441835,100.0659528,91.13414521,89.55037337,3.071040375,17.43950126,-71.57755476,87.44543922,-21.35206779,4270.98328,-6933.267433,97.0548906
233.68,9,131.3496925,135.1348454,99.98783703,91.13280581,89.55159474,3.084384725,17.34904354,-71.48822338,87.27413192,-21.41224631,4257.175709,-6906.717922,97.4988301
233.68,10,131.3950835,135.3231946,99.90807182,91.13147126,89.55281197,3.097675612,17.25879822,-71.39926335,87.10398961,-21.47155353,4241.748229,-6878.03609,97.76178851
233.68,11,131.438412,135.5092025,99.82671459,91.13014199,89.55402455,3.110891893,17.16879271,-71.31069997,86.93507509,-21.52990665,4224.701496,-6847.231098,97.83605476
233.68,12,131.4796989,135.6928398,99.74382481,91.12881837,89.55523209,3.124027472,17.07905524,-71.2225587,86.76745261,-21.58729634,4206.036532,-6814.312781,97.7201623
233.68,13,131.5189654,135.8740755,99.65946291,91.12750095,89.55643417,3.137080381,16.98961453,-71.13486552,86.6011873,-21.64373275,4185.754882,-6779.291498,97.41422092
233.68,14,131.5562322,136.0528777,99.57368871,91.12619008,89.55763035,3.150037154,16.90049953,-71.04764649,86.43634507,-21.69917078,4163.858731,-6742.178323,96.91414575
233.68,15,131.5915185,136.2292128,99.48656361,91.12488622,89.55882028,3.16289634,16.81174019,-70.96092811,86.27299273,-21.75362621,4140.350575,-6702.984859,96.22043365
233.68,16,131.624844,136.403045,99.39814838,91.12358987,89.56000353,3.175646232,16.72336629,-70.87473738,86.11119816,-21.80706378,4115.233699,-6661.723221,95.32994082
233.68,17,131.6562259,136.5743386,99.30850509,91.1223015,89.56117965,3.188286083,16.63540898,-70.78910109,85.95102981,-21.85950265,4088.511583,-6618.40635,94.24371416
233.68,18,131.6856821,136.7430528,99.21769458,91.12102157,89.56234814,3.200800394,16.54789918,-70.70404718,85.7925576,-21.91089061,4060.188507,-6573.047355,92.95739344
233.68,19,131.7132277,136.9091477,99.12577916,91.11975059,89.56350872,3.213187573,16.46086903,-70.61960328,85.63585181,-21.96124317,4030.269016,-6525.660225,91.47200667
233.68,20,131.7388772,137.0725798,99.03282007,91.11848905,89.56466083,3.225434615,16.37435089,-70.53579763,85.4809838,-22.01052156,3998.758284,-6476.259361,89.78440556
233.68,21,131.7626444,137.2333033,98.93887927,91.11723752,89.56580414,3.237536268,16.28837747,-70.45265896,85.3280253,-22.05872474,3965.662084,-6424.859626,87.89454593
233.68,22,131.7845398,137.3912704,98.84401825,91.11599649,89.56693818,3.249483331,16.20298284,-70.37021615,85.17704987,-22.1058326,3930.986387,-6371.476508,85.8009668
233.68,23,131.8045737,137.5464295,98.74829859,91.11476646,89.56806241,3.261269084,16.11820116,-70.28849886,85.02813089,-22.15183747,3894.737857,-6316.125808,83.50333249
233.68,24,131.8227546,137.6987277,98.6517818,91.11354809,89.56917656,3.272888596,16.03406693,-70.20753677,84.88134307,-22.19674142,3856.923767,-6258.823993,81.00200301
233.68,25,131.839088,137.8481083,98.55452797,91.11234185,89.57027998,3.284325585,15.95061605,-70.12736018,84.73676127,-22.24049164,3817.551569,-6199.587895,78.29347911
233.68,26,131.8535787,137.9945123,98.45659829,91.11114836,89.5713724,3.29557811,15.86788446,-70.04799965,84.59446143,-22.2831027,3776.629429,-6138.434883,75.37959935
233.68,27,131.8662295,138.1378774,98.35805337,91.10996823,89.57245327,3.306642867,15.78590854,-69.96948628,84.45452032,-22.32458401,3734.166087,-6075.382719,72.26168607
233.68,28,131.8770395,138.2781376,98.258951,91.10880198,89.57352211,3.317492702,15.70472626,-69.89185165,84.31701427,-22.36483813,3690.170388,-6010.449569,68.93281025
233.68,29,131.8860077,138.4152249,98.15935295,91.10765032,89.57457849,3.328145929,15.62437512,-69.8151275,84.18202137,-22.40396691,3644.652098,-5943.654161,65.40239953
233.68,30,131.8931294,138.5490669,98.05931648,91.10651382,89.57562199,3.338581087,15.54489391,-69.73934628,84.04961934,-22.44189828,3597.621204,-5875.015493,61.66586269
233.68,31,131.8983983,138.6795887,97.95889921,91.10539314,89.57665212,3.348787103,15.46632178,-69.66454063,83.91988689,-22.47860896,3549.088288,-5804.55308,57.72237576
233.68,32,131.9018056,138.8067123,97.85815866,91.10428892,89.57766832,3.35875818,15.38869858,-69.59074354,83.79290186,-22.51409426,3499.064396,-5732.286883,53.57320583
233.68,33,131.9033401,138.9303554,97.75715158,91.10320186,89.57867013,3.368488492,15.31206461,-69.51798867,83.66874341,-22.54835085,3447.561108,-5658.23712,49.2197901
233.68,34,131.9029885,139.0504322,97.65593361,91.10213259,89.57965716,3.377968578,15.23646077,-69.44631002,83.54749085,-22.58136009,3394.590505,-5582.424419,44.66231628
233.68,35,131.9007346,139.1668552,97.55455854,91.10108185,89.58062889,3.387178784,15.16192872,-69.37574166,83.42922274,-22.6130613,3340.165093,-5504.869953,39.89769297
233.68,36,131.8965602,139.2795325,97.45308384,91.10005026,89.58158485,3.396144226,15.08851042,-69.30631821,83.31401825,-22.64357835,3284.297964,-5425.595179,34.93836385
233.68,37,131.8904444,139.3883691,97.35155929,91.09903858,89.58252451,3.404822722,15.01624853,-69.23807463,83.20195619,-22.67275634,3227.002671,-5344.621938,29.77378507
233.68,38,131.8823639,139.4932671,97.25004021,91.0980475,89.5834474,3.413236074,14.94518617,-69.1710461,83.09311496,-22.70070352,3168.293271,-5261.972483,24.41547863
233.68,39,131.8722941,139.594125,97.14856889,91.0970778,89.58435305,3.421286836,14.87536634,-69.10526828,82.98757295,-22.72704472,3108.184577,-5177.66937,18.83462909
233.68,40,131.8602058,139.690839,97.04721564,91.09613016,89.58524088,3.429163668,14.80683371,-69.04077684,82.88540735,-22.75256057,3046.691454,-5091.735648,13.09907845
233.68,41,131.8460701,139.7833014,96.94600494,91.09520535,89.58611058,3.436613602,14.73963202,-68.97760806,82.78669618,-22.77624758,2983.829801,-5004.194565,7.128541276
233.68,42,131.8298538,139.8714035,96.84507532,91.09430412,89.58696152,3.44451507,14.6738063,-68.91579795,82.69151551,-22.80163781,2919.615724,-4915.06998,1.217907479
233.68,43,131.8115236,139.9550324,96.74426223,91.09342723,89.58779327,3.450779906,14.60940109,-68.85538307,82.59994088,-22.82040438,2854.066077,-4824.38595,-5.317308867
233.68,44,131.7910426,140.0340738,96.64379857,91.09257536,89.5886052,3.457234347,14.54646177,-68.79639996,82.51204713,-22.83986072,2787.198202,-4732.166984,-11.86935818
233.68,45,131.768372,140.1084104,96.54368865,91.09174945,89.58939706,3.463470068,14.48503404,-68.73888543,82.42790826,-22.85838666,2719.029871,-4638.437906,-18.56879185
233.68,46,131.7434731,140.1779248,96.44396304,91.09095019,89.59016819,3.469348196,14.42516262,-68.68287594,82.34759612,-22.8754454,2649.579861,-4543.2241,-25.45599059
233.68,47,131.7163028,140.2424939,96.34466686,91.09017828,89.59091813,3.474883654,14.36689388,-68.62840894,82.27118237,-22.8911094,2578.866971,-4446.550929,-32.52112284
233.68,48,131.6868187,140.3019988,96.24584013,91.08943456,89.59164643,3.480052916,14.31027307,-68.57552047,82.1987369,-22.90529969,2506.910996,-4348.444749,-39.76640562
233.68,49,131.654975,140.3563146,96.14752414,91.08871981,89.59235255,3.484856357,14.25534626,-68.52424773,82.13032785,-22.91802995,2433.732034,-4248.931784,-47.1864812
233.68,50,131.6207274,140.4053189,96.04975869,91.08803484,89.59303609,3.489291254,14.20215832,-68.47462693,82.06602108,-22.9293004,2359.351198,-4148.039048,-54.77678485
233.68,51,131.5840281,140.4488856,95.95258484,91.08738032,89.59369652,3.493378766,14.15075475,-68.42669498,82.00588256,-22.93920463,2283.789895,-4045.793582,-62.52534459
