f,att_rot,res_med,G11,G12,G13,G21,G22,G23,G31,G32,G33,O1,O2,O3
233.68,-1,4185.792781774753,113.99010113491002,40.75127922464697,-2.495582242908761,-89861.98682066449,-33.81560323681641,116.46938793891398,1.0095385528350935,-13908.550992008642,4.054623197678272,-1.3197243296467387,94.70522169779424,-40473.42993028538
233.68,0,4145.7647454068765,115.97860620350293,40.518921780591974,-2.514228408697254,36793.96961126144,-35.36309160750267,118.51292700941914,1.0193565676229113,-193489.3177186996,4.202431869457617,-1.4196343836603442,95.63824327084983,-31729.72068790531
233.68,3,4147.0731028574955,116.06321847443276,40.422948441795654,-2.5134890242013914,36415.31900385766,-35.518060738085055,118.60195685597805,1.0188233715513255,-192960.10160871324,4.210812480821869,-1.4259509130879242,95.61271180803874,-31706.193909677775
233.68,6,4148.495672850317,116.14246684031707,40.32750699546562,-2.512698234061554,35680.29658162578,-35.66896756907901,118.68548630483807,1.0182631135660394,-191925.84452963865,4.218795309239161,-1.4320006282899445,95.58459055928985,-31707.670545507106
233.68,9,4150.023376685069,116.21612816663625,40.23289666561704,-2.511858595672388,34589.62472913714,-35.81535870091954,118.76328157995759,1.0176775740629638,-190387.59465233862,4.226349907523768,-1.4377601211714235,95.55398179824917,-31734.382797521484
233.68,12,4151.648088945742,116.28399965285351,40.13941300071979,-2.5109732916247074,33145.28697278566,-35.95678849616805,118.83512291504961,1.0170691800413054,-188347.98613253576,4.233455606078868,-1.4432133297665515,95.52099636823297,-31786.296121516974
233.68,15,4153.360940236636,116.34588162221215,40.04735970120286,-2.510045511605888,31350.155815891332,-36.0928181553582,118.90080329054781,1.0164394833301682,-185811.19712733943,4.240084054515309,-1.4483386056794152,95.48575304989303,-31863.46988440949
233.68,18,4155.152652261598,116.4015962971621,39.95703391591113,-2.5090787541572177,29208.385576243814,-36.223021230160064,118.9601318128111,1.0157910535427943,-182783.03422578645,4.246214362549627,-1.4531193396747082,95.44837790574051,-31965.746674306054
233.68,21,4157.015409876538,116.4509819478312,39.86872967140473,-2.508076234924037,26725.27327524249,-36.34698150186997,119.01293151155225,1.0151258566761523,-179270.85198233408,4.2518285704517655,-1.457541466177959,95.40900358725177,-32092.86363192005
233.68,24,4158.938883465673,116.49388575871312,39.78274211192922,-2.507041595265578,23907.09126354503,-36.46429741187887,119.05904188951814,1.014446166600656,-175283.60016007395,4.25690059909835,-1.4615843261207684,95.36776861021124,-32244.630321431276
233.68,27,4160.91502393199,116.53016599426479,39.69936500806914,-2.505978400278565,20761.112949277394,-36.57458165072621,119.09831790687869,1.013754532008104,-170831.76468153833,4.261414917683935,-1.465235299382127,95.32481662696627,-32420.61705799788
233.68,30,4162.936255841261,116.55971673012414,39.618871554586036,-2.504890524105822,17296.106297795643,-36.6774653786953,119.13063235674547,1.0130531179912872,-165927.39698270475,4.2653555243172,-1.4684813415846851,95.28029568714459,-32620.33241754288
233.68,33,4164.993110695528,116.58243390882667,39.54153834078699,-2.503781700920462,13521.586670354513,-36.77259716801514,119.15587437477137,1.0123442195042989,-160584.02742807643,4.268707944960365,-1.4713103572521442,95.23435747028788,-32843.205856054614
233.68,36,4167.078129542004,116.5982295429311,39.46763389148441,-2.5026554488397474,9448.082523344287,-36.859647294214604,119.17395183895167,1.0116302829977002,-154816.68193248982,4.2714564850738155,-1.4737093772150358,95.18715654919419,-33088.64403351519
233.68,39,4169.18437183667,116.6070437505355,39.397408915984194,-2.501515816758948,5087.345670011523,-36.938307131019634,119.18479023272776,1.0109134930976509,-148641.79315897182,4.27359338629776,-1.4756714027473754,95.13884964456265,-33355.845824674434
233.68,42,4171.3029704734645,116.60882191911894,39.331112048732784,-2.5003664755202086,451.8296987904585,-37.00829306121395,119.18833478760484,1.0101964367240879,-142077.19689874057,4.275109640769745,-1.4771881600105017,95.08959488671444,-33643.991064041926
233.68,45,4173.429475352604,116.60354367128781,39.26896767729795,-2.4992112560170257,-4444.756724130888,-37.06934653759536,119.1845498433289,1.0094809536950806,-135142.04394498596,4.275998496345974,-1.4782533260026307,95.03955111110244,-33952.186272353414
233.68,48,4175.555818479772,116.59120245977228,39.21119000986369,-2.4980536921623435,-9587.927489629341,-37.12123526880064,119.17341905857757,1.0087696626675304,-127856.73151743089,4.276252777549315,-1.4788599736366934,94.98887716132388,-34279.50788907287
233.68,51,4177.676050310491,116.57179984778094,39.15798638989477,-2.496897590938046,-14962.589581573826,-37.163757066073536,119.15494757392801,1.0080646218077258,-120242.88245154967,4.275871099731416,-1.479005644087156,94.93773123425086,-34624.8918392873
233.68,54,4179.787200070506,116.54536480930726,39.109542324505746,-2.4957464010711896,-20552.7068266932,-37.19673839241888,119.12916035938889,1.0073678885798056,-112323.21319171546,4.274854090559087,-1.478689559476963,94.88627024095874,-34987.21911791206
233.68,57,4181.881648147752,116.5119553108722,39.066019482413466,-2.494603686629369,-26341.333076800085,-37.22003700076475,119.09610352720559,1.0066817864539586,-104121.48261111877,4.273199860843196,-1.4779084760683785,94.83464920942926,-35365.38136224468
233.68,60,4183.955879937856,116.47163759296937,39.02757024264122,-2.4934727237726326,-32311.10090313827,-37.23354291867403,119.0558445819558,1.006007925449317,-95662.4017763791,4.2709197070204725,-1.4766695113808985,94.78302072865907,-35758.02521367667
233.68,63,4186.007626561239,116.42450188295852,38.99432541975724,-2.492356882892387,-38443.9670817703,-37.237179184998865,119.00847239094928,1.0053485047415889,-86971.54023969427,4.26801400570544,-1.4749714076310623,94.73153442616146,-36163.982769412134
233.68,66,4188.030788946391,116.37066063938566,38.966394937922935,-2.4912592605349957,-44721.319120219836,-37.23090271491317,118.9540973955682,1.0047051846235797,-78075.23065895007,4.264494775612526,-1.4728218467331846,94.68033649975705,-36581.882942170654
233.68,69,4190.0249305258185,116.31024954639197,38.94386656028642,-2.49018273308391,-51124.02729214492,-37.21470524823028,118.89285185928573,1.0040799660856632,-69000.47518560181,4.2603714866757905,-1.470226167157254,94.62956926300677,-37010.373061767714
233.68,72,4191.986454664584,116.24341716595777,38.92681293698695,-2.4891304274675607,-57632.722020988804,-37.18861282038703,118.8248891276143,1.0034742789586597,-59774.824502444644,4.255657347857838,-1.467192927469945,94.57937078187656,-37448.074673915005
233.68,75,4193.913125251032,116.17033988795582,38.915280192864834,-2.488104811142435,-64227.56666796143,-37.15268697719079,118.75038416847597,1.0028895454979705,-50426.290098995756,4.250370584512261,-1.4637344567518402,94.529874513743,-37893.50643558627
233.68,78,4195.803726527827,116.09120637772334,38.90929896741905,-2.487108564715581,-70888.63829605383,-37.10702476307687,118.66953327512809,1.0023274759853853,-40983.23505002492,4.244522898680414,-1.4598579469399475,94.48120901303001,-38345.331866788074
233.68,81,4197.655285833262,116.00623485868545,38.90887137686185,-2.4861440999258466,-77595.65573436824,-37.051757084229145,118.58255262288249,1.0017893337417068,-31474.236050504016,4.23813673467883,-1.4555788996193528,94.43349767683091,-38802.04348524835
233.68,84,4199.469684985241,115.9156526697747,38.9139857704574,-2.4852135607776513,-84328.44980453735,-36.98705190733312,118.48968040296664,1.0012763622194385,-21928.041931443473,4.231233122689617,-1.4509117190632301,94.38685854079864,-39262.18492142723
233.68,87,4201.244170519933,115.81971284408111,38.924604292579545,-2.4843191740504578,-91066.70604657882,-36.91310791405436,118.3911720062648,1.0007896400233185,-12373.351533358347,4.22383320250688,-1.4458709306158246,94.34140410218409,-39724.3307124141
233.68,90,4202.978381666293,115.7186833185156,38.94067069796679,-2.483462817158546,-97790.2387374917,-36.83015994405469,118.28730389418023,1.0003302755695385,-2838.825136874663,4.215965383249494,-1.440476598579895,94.2972411930914,-40186.96344848928
233.68,93,4204.672239580308,115.6128494510426,38.962108349918,-2.482646281000083,-104479.00238695882,-36.73847444559406,118.17837016365304,0.9998993018224553,6647.093672641002,4.207653946650174,-1.4347456612866636,94.25447091109375,-40648.68179377027
233.68,96,4206.326001306958,115.50251101757921,38.98882238971273,-2.481871128148094,-111113.20723207344,-36.63834498933486,118.06467922271287,0.999497197162905,16056.346061208656,4.198923351855075,-1.4286951870073985,94.21318853368432,-41108.11104827874
233.68,99,4207.938320325009,115.38798701326496,39.02069615814753,-2.4811389474151357,-117673.28133761213,-36.53010153733057,117.94656054945612,0.9991251171677217,25361.157958888543,4.189805925859131,-1.422348339869896,94.17348353878128,-41563.800653630984
233.68,102,4209.509185875477,115.26960907558225,39.05759606136353,-2.4804508616003647,-124140.0462431868,-36.41409747973822,117.82435520710472,0.9987833348037112,34534.35925384559,4.1803279025947,-1.4157236866364638,94.13543959603408,-42014.451677015844
