f,att_rot,res_med,G11,G12,G13,G21,G22,G23,G31,G32,G33,O1,O2,O3
233.68,-1,4185.792781774753,113.99010113491002,40.75127922464697,-2.495582242908761,-89861.98682066449,-33.81560323681641,116.46938793891398,1.0095385528350935,-13908.550992008642,4.054623197678272,-1.3197243296467387,94.70522169779424,-40473.42993028538
233.68,0,4479.198558942826,104.11239454643686,45.59382341562549,-2.46823081638945,-472282.1410432208,-22.294331756841437,106.22268834636043,0.9984791290378897,528885.0060220746,3.310870803934561,-0.7883751040452129,92.87019756892356,-66107.50049374558
233.68,1,4462.358004457186,104.72433803963034,44.96986854758207,-2.464365758046613,-478813.021707298,-23.34390107096031,106.8655222859303,0.9953945355602994,538100.5910442331,3.359739419271758,-0.824678671080632,92.73872654525834,-66323.73571770955
233.68,2,4448.559015323187,105.36241327643444,44.327886440772794,-2.4605226041662225,-485851.3733676955,-24.429839252626113,107.53596178734698,0.992271567870102,548032.8103403165,3.410583447636408,-0.8624018718809665,92.60815796355854,-66569.01810957062
233.68,3,4437.727959497632,106.0277097895043,43.66740476076991,-2.4567062831660604,-493423.4916033227,-25.55340031533626,108.23517094783213,0.9891118245255753,558719.0911614635,3.463494771188952,-0.901610495100593,92.47874068284806,-66845.17639924106
233.68,4,4431.768393928649,106.72133902023546,42.98793240105596,-2.4529216722243063,-501557.4851046564,-26.715878262466795,108.96434209137472,0.9859167487347119,570199.3949231884,3.5185650452989075,-0.9423698253894965,92.3507215090333,-67154.203548729
233.68,5,4432.195370820597,107.44443048123314,42.288960980254444,-2.449173174725239,-510283.32359330944,-27.918598764900942,109.7246882557988,0.9826874941149197,582516.4406774815,3.5758998412391794,-0.9847557875860086,92.22434481611619,-67498.13501037807
233.68,6,4436.21029236647,108.19812654111509,41.56997011220355,-2.4454651520397634,-519633.01562258735,-29.1629139873453,110.51743937083363,0.9794254477963652,595715.8554821904,3.6355995165548727,-1.028839999934749,92.09985241272321,-67879.29499133196
233.68,7,4443.584051577422,108.98357640149189,40.830429755615334,-2.4418022673495967,-529640.6907553943,-30.45019530211968,111.34383698401922,0.9761314940471293,609846.3528246534,3.697772630402602,-1.0747004537506488,91.97748321512628,-68300.12089122781
233.68,8,4454.072202890857,109.8019282542117,40.06980655874876,-2.4381885626492283,-540342.7355679795,-31.781822160939715,112.20512568946778,0.9728066434787738,624959.916068057,3.762534513657924,-1.122419940229531,91.85747307070767,-68763.21362057296
233.68,9,4467.4186655803815,110.65431874624517,39.287571153414746,-2.43462798855484,-551777.918860928,-33.15916901485733,113.10254339626354,0.9694515905194685,641111.9779175146,3.8300042154788065,-1.1720839858811907,91.74005457024406,-69271.38720304193
233.68,10,4413.613067800016,104.89218325626227,45.439139191840646,-2.4742438661524897,-420689.6258187703,-22.970197796651146,107.02724577657166,1.0022050414961787,455667.92220002436,3.361139370305409,-0.8237193076165322,93.18688349985054,-63030.507346624516
233.68,11,4396.908650154401,105.51445072817722,44.794695218970894,-2.4700920233046535,-426599.21400971676,-24.047390753892813,107.68089581675385,0.9989712062941773,464001.77339226956,3.4118266403305135,-0.8614694216459162,93.04564099571124,-63194.70752482727
233.68,12,4383.483258488535,106.16351735365605,44.13160438913848,-2.4659590537554195,-433001.6413774547,-25.162041370057178,108.36285753650023,0.9956962662578939,473030.750943552,3.4645911763325143,-0.9007162112908592,92.90520276520802,-63386.650042343
233.68,13,4373.258634049564,106.8405012130558,43.449384098867625,-2.461849784142715,-439923.2651267669,-26.315435351374685,109.07432677659202,0.9923817673049415,482792.2808304422,3.5195271659952563,-0.9415267647020804,92.7658257994456,-63608.19005803141
233.68,14,4366.137075847374,107.54654000627112,42.74753399775375,-2.4577689915198593,-447392.29162499215,-27.508893403464263,109.81652282360521,0.9890291060381122,493326.45355097594,3.576739590216644,-0.9839767291243608,92.62776467464302,-63861.249971924684
233.68,15,4362.0052018792485,108.28278684715796,42.02553866694244,-2.4537215372276346,-455438.8954734849,-28.743767134172263,110.59068511433159,0.9856396363336777,504676.18340741645,3.6363331102129615,-1.028141015183694,92.49127124026795,-64147.96021854383
