f,att_rot,res_med,G1,G2,G3,th1,th2,th3,ph1,ph2,ph3,O1/G1,O2/G2,O3/G3
233.68,"[0.775557834085989, -0.6180132990602016, 0.1287230758979082]",4185.792781774753,121.08112093106539,121.2832738559802,94.80116380303446,91.18099712295327,89.52307548719382,2.5779355250140905,19.671888906515527,-73.80992720053958,-18.02935942324971,-742.1634861790324,-114.67822849607917,-426.92967371556557
233.68,"[0.706784056731381, -0.6742291641570282, 0.21417593550734754]",4360.976772919141,115.15550642263266,110.56860816249893,93.6891740024238,91.23553303877274,89.47788433400585,2.159881569341879,23.183835178204525,-77.61847351132174,-14.207456323558553,-3089.0620366435905,3287.8495956830834,-630.6287654835766
233.68,"[0.712741478568708, -0.6678986084527849, 0.2142686014200995]",4353.904643823061,115.31279247351272,111.01220559818684,93.61004575687988,91.23268364842403,89.48087812383793,2.180368736359131,22.967818362370565,-77.37429670937118,-14.411149205331727,-3109.2569493653764,3310.4669720072884,-631.8252090656432
233.68,"[0.7186439542132528, -0.6615166572439601, 0.2143515319784698]",4347.287156701883,115.47667320541946,111.46774133022478,93.5313518802272,91.22977606053445,89.48390782126442,2.2013196887655293,22.748688502221206,-77.12786613133615,-14.615530593088636,-3130.014475429114,3333.7060161402937,-633.0726587904942
233.68,"[0.7244910341686426, -0.6550837965408475, 0.21442472086697528]",4341.127846225774,115.64734165483819,111.93550266515379,93.4531210010373,91.22680917381768,89.48697333869085,2.222743124647855,22.526427316906265,-76.87920774555697,-14.820533858570574,-3151.347336044337,3357.578032543257,-634.3735367978578
233.68,"[0.7302822731571009, -0.6486005162306949, 0.2144881625119987]",4335.422199219109,115.82499467545189,112.41578170728447,93.3753817479383,91.22378200945198,89.49007447532173,2.2446514546949854,22.301017682095928,-76.628349364532,-15.026133577750755,-3173.268635032699,3382.0946933623372,-635.7296362587574
233.68,"[0.7360172301533571, -0.6420673100403993, 0.2145418520822132]",4330.171220972112,116.00983316239966,112.90887473782543,93.2981626147322,91.22069336324773,89.49321107152927,2.26705801453155,22.072443468693844,-76.37532087250013,-15.232307193343528,-3195.7918028898343,3407.2681468384103,-637.1428071918466
233.68,"[0.741695468418232, -0.6354846754989062, 0.21458578548895013]",4325.372683726552,116.2020612885777,113.41508318767428,93.221491713005,91.21754214682967,89.49638278154724,2.28997436801075,21.84069034440897,-76.1201539428725,-15.439009970094364,-3218.930769158608,3433.110834449637,-638.6152118364855
233.68,"[0.7473165555318974, -0.6288531138993216, 0.21461995938651046]",4321.02401705426,116.4018868184999,113.93471252499047,93.14539713178841,91.21432746117351,89.49958944448647,2.3134149191982987,21.605745574448544,-75.86288241741707,-15.646222742456326,-3242.6999171705743,3459.6356630838277,-640.1488069253962
233.68,"[0.7528800634268071, -0.6221731302607368, 0.21464437117241963]",4317.125324475212,116.60952094925199,114.46807202983777,93.0699064823766,91.21104806005913,89.50283076179647,2.3373903769173916,21.3675982242337,-75.60354245449989,-15.853881762166903,-3267.114091450266,3486.8560215173356,-641.7464416569749
233.68,"[0.7583855684202945, -0.6154452332897682, 0.21465901898762552]",4313.671795959056,116.82517856241043,115.01547499998067,92.99504748414557,91.20770312062454,89.50610641478826,2.361916701856072,21.126239086772216,-75.34217242131325,-16.061976089845107,-3292.188536046741,3514.785735787683,-643.4099981419669
