id,number,mission_id,start_time,tle_id,beta_angle
89489,18207,2,"2021-12-11 00:44:57.472000",NULL,53.283
89490,18208,2,"2021-12-11 02:17:59.198000",7799,53.316
89491,18209,2,"2021-12-11 03:51:00.906000",NULL,53.349
89492,18210,2,"2021-12-11 05:24:02.609000",NULL,53.383
89493,18211,2,"2021-12-11 06:57:04.303000",NULL,53.416
89494,18212,2,"2021-12-11 08:30:05.992000",NULL,53.449
89495,18213,2,"2021-12-11 10:03:07.676000",NULL,53.482
89496,18214,2,"2021-12-11 11:36:09.355000",NULL,53.515
89497,18215,2,"2021-12-11 13:09:11.030000",NULL,53.549
89498,18216,2,"2021-12-11 14:42:12.700000",NULL,53.582
89499,18217,2,"2021-12-11 16:15:14.365000",NULL,53.615
89500,18218,2,"2021-12-11 17:48:16.025000",NULL,53.648
89501,18219,2,"2021-12-11 19:21:17.681000",NULL,53.681
89502,18220,2,"2021-12-11 20:54:19.332000",NULL,53.714
89503,18221,2,"2021-12-11 22:27:20.979000",NULL,53.747
90125,18222,2,"2021-12-11 23:59:58.286000",NULL,53.777
89660,18222,2,"2021-12-12 00:00:22.637000",NULL,53.781
89521,18223,2,"2021-12-12 01:33:24.277000",NULL,53.814
89522,18224,2,"2021-12-12 03:06:25.913000",NULL,53.847
89523,18225,2,"2021-12-12 04:39:27.544000",NULL,53.88
89524,18226,2,"2021-12-12 06:12:29.171000",NULL,53.913
89525,18227,2,"2021-12-12 07:45:30.794000",NULL,53.946
89526,18228,2,"2021-12-12 09:18:32.411000",NULL,53.979
89527,18229,2,"2021-12-12 10:51:34.025000",NULL,54.013
89528,18230,2,"2021-12-12 12:24:35.634000",NULL,54.046
89529,18231,2,"2021-12-12 13:57:37.238000",NULL,54.079
89530,18232,2,"2021-12-12 15:30:38.838000",NULL,54.112
89531,18233,2,"2021-12-12 17:03:40.393000",NULL,54.145
89532,18234,2,"2021-12-12 18:36:41.983000",NULL,54.178
89533,18235,2,"2021-12-12 20:09:43.569000",NULL,54.211
89534,18236,2,"2021-12-12 21:42:45.151000",NULL,54.244
89535,18237,2,"2021-12-12 23:15:46.728000",NULL,54.277
89551,18238,2,"2021-12-13 00:48:48.301000",NULL,54.311
89552,18239,2,"2021-12-13 02:21:49.852000",NULL,54.344
89553,18240,2,"2021-12-13 03:54:51.414000",NULL,54.377
89554,18241,2,"2021-12-13 05:27:52.971000",NULL,54.41
89555,18242,2,"2021-12-13 07:00:54.524000",NULL,54.443
89556,18243,2,"2021-12-13 08:33:56.073000",NULL,54.476
89557,18244,2,"2021-12-13 10:06:57.617000",NULL,54.509
89558,18245,2,"2021-12-13 11:39:59.156000",NULL,54.542
89559,18246,2,"2021-12-13 13:13:00.691000",NULL,54.575
89560,18247,2,"2021-12-13 14:46:02.222000",NULL,54.608
89561,18248,2,"2021-12-13 16:19:03.748000",NULL,54.642
89562,18249,2,"2021-12-13 17:52:05.269000",NULL,54.675
89563,18250,2,"2021-12-13 19:25:06.787000",NULL,54.708
89564,18251,2,"2021-12-13 20:58:08.299000",NULL,54.741
89565,18252,2,"2021-12-13 22:31:09.807000",NULL,54.774
89582,18253,2,"2021-12-14 00:04:11.311000",NULL,54.807
89583,18254,2,"2021-12-14 01:37:12.728000",7801,54.84
89584,18255,2,"2021-12-14 03:10:14.218000",NULL,54.873
89585,18256,2,"2021-12-14 04:43:15.703000",NULL,54.906
89586,18257,2,"2021-12-14 06:16:17.184000",NULL,54.939
89587,18258,2,"2021-12-14 07:49:18.632000",NULL,54.972
89588,18259,2,"2021-12-14 09:22:20.096000",NULL,55.005
89589,18260,2,"2021-12-14 10:55:21.554000",NULL,55.038
89590,18261,2,"2021-12-14 12:28:23.007000",NULL,55.071
89591,18262,2,"2021-12-14 14:01:24.456000",NULL,55.104
89592,18263,2,"2021-12-14 15:34:25.899000",NULL,55.137
89593,18264,2,"2021-12-14 17:07:27.337000",NULL,55.17
89594,18265,2,"2021-12-14 18:40:28.770000",NULL,55.204
89595,18266,2,"2021-12-14 20:13:30.198000",NULL,55.237
89596,18267,2,"2021-12-14 21:46:31.621000",NULL,55.27
89597,18268,2,"2021-12-14 23:19:33.039000",NULL,55.303
89613,18269,2,"2021-12-15 00:52:34.451000",NULL,55.336
89614,18270,2,"2021-12-15 02:25:35.882000",7802,55.369
89615,18271,2,"2021-12-15 03:58:37.288000",NULL,55.402
89616,18272,2,"2021-12-15 05:31:38.689000",NULL,55.435
89617,18273,2,"2021-12-15 07:04:40.086000",NULL,55.468
89618,18274,2,"2021-12-15 08:37:41.461000",NULL,55.501
89619,18275,2,"2021-12-15 10:10:42.834000",NULL,55.534
89620,18276,2,"2021-12-15 11:43:44.200000",NULL,55.567
89621,18277,2,"2021-12-15 13:16:45.560000",NULL,55.6
89622,18278,2,"2021-12-15 14:49:46.914000",NULL,55.633
89623,18279,2,"2021-12-15 16:22:48.262000",NULL,55.666
89624,18280,2,"2021-12-15 17:55:49.614000",NULL,55.699
89625,18281,2,"2021-12-15 19:28:50.944000",NULL,55.732
89626,18282,2,"2021-12-15 21:01:52.268000",NULL,55.765
89627,18283,2,"2021-12-15 22:34:53.584000",NULL,55.798
89644,18284,2,"2021-12-16 00:07:54.893000",NULL,55.831
