rotate_ang,res_dmxl_x,res_dmxl_y,res_dmxl_z,G11,G12,G13,O1,G21,G22,G23,O2,G31,G32,G33,O3,G1,G2,G3,th1,th2,th3,ph1,ph2,ph3,O1/G1,O2/G2,O3/G3
-15,110.99943158740606,26.719291503166318,154.70123393100397,111.63375516399147,-30.864771413539586,-4.734978252272832,-120373.34396681798,-24.507260724723213,85.32819483578683,26.246631555113268,8919.11239357918,0.022613821472733164,0.15979038003377544,110.60225197526152,-78242.53375265643,115.91871904689742,92.57641346559839,110.60236971398811,92.34103492295051,73.53000648913371,0.08360170216089084,-15.455186287472934,-73.97531213183696,81.94489120002704,-1038.4288659894382,96.34324834687555,-707.4218568280904
-14,131.56790886365937,37.597349044599,178.33731401584248,108.67996135814249,-5.101875409970693,0.6597561494188422,-120866.50959113022,-24.476193630397972,85.32318655667537,26.245303493269148,8912.83834086819,0.028727391186477196,0.1588048159010001,110.60199065127733,-78243.76817853905,108.8016471000458,92.56320097248025,110.60210838974905,89.65256523645793,73.52844581659791,0.08360171043529471,-2.6877216258902665,-73.99369373608702,79.74622598531457,-1110.888601529998,96.28921911978871,-707.4346892449558
-13,192.08937722767774,104.1796069817324,161.21416177601841,108.37912586934975,-30.345500706142644,0.7104553060648116,-123683.3082209559,-24.448357675305488,85.31850983482241,26.244115393052564,8907.237209569634,0.029327169097944954,0.15870402751977183,110.60196495546408,-78243.89125271833,112.54949615192764,92.55119613607495,110.6020827067054,89.6383248055568,73.52701540603843,0.08360625363072373,-15.641925584947677,-74.01013459687478,79.53032831258413,-1098.9236953491024,96.24118954090683,-707.4359662846989
-12,112.2621536998507,166.87608515984368,337.63545983000364,103.64276055242084,-7.383110835723894,-9.337131093856827,-122899.11243275438,-24.556851616187043,85.32562873868206,26.272127788960525,8934.711501749738,0.03085211730214855,0.12102745144117502,110.60515852776881,-78230.84628693262,104.324082347284,92.59441980762288,110.60522904659622,95.13491244566998,73.51684845362125,0.0646997145646493,-4.074647437723274,-73.94409738258564,75.69884122327578,-1178.0512195030485,96.49298003392407,-707.2979004814972
-11,118.69396682954144,228.55809258099939,167.10709204753462,105.80122694148108,-18.749761643529474,11.005017566014985,-126245.6619097589,-24.55162904476741,85.3246870291471,26.271926633271296,8933.670428437401,0.033388566105982065,0.1205701375482906,110.60506090095078,-78231.35076010102,108.0118678462707,92.59211000078656,110.60513165697803,84.15215068466257,73.5165553411116,0.06480846498744736,-10.04944158655297,-73.94716806750587,74.52140039579994,-1168.812876094687,96.48414350166024,-707.3030842974042
-10,259.3084437098933,111.77456466064183,233.924235555975,101.01065722225296,-26.043641960679043,-9.283806534631905,-125961.68473063305,-24.548648183942547,85.32413348510232,26.271823928878092,8933.075051474789,0.03599892062987475,0.1200853292611801,110.60497095446897,-78231.86979127186,104.72637310066648,92.59078040060207,110.60504200192464,95.08584493522343,73.51637816348469,0.06494182004084235,-14.457729731469879,-73.94891791607743,73.31243430234186,-1202.7694744050239,96.47909881334904,-707.3083502821738
-9,177.86592540077885,181.56292159063221,429.49502990561945,99.2713830346779,-5.2619177219961015,-6.8326785298128625,-125989.67103785701,-24.548534858265146,85.32411194257746,26.271820600823748,8933.053432226408,0.03943103882243726,0.11943305164886919,110.60487022539868,-78232.5479205804,99.64527466780629,92.59072955841106,110.60494173696732,93.93185805852002,73.51637100163728,0.0651536184538766,-3.0341453395937417,-73.94898435361003,71.72926625806956,-1264.3817928936087,96.47891829808916,-707.3151225614077
-8,187.40634991189663,231.12514598977918,262.3737346448232,101.478298532414,-12.833805241035417,10.353876752369604,-128678.76405292131,-24.55201970769678,85.32478516904601,26.271902205033157,8933.744941511639,0.04413961200984318,0.11852340345470935,110.60475998370917,-78233.48394190347,102.80931083224819,92.59229709507056,110.6048322956842,84.21997052586036,73.51660536230273,0.06551725823843935,-7.207844085846982,-73.94694330862039,69.57403392543844,-1251.6255873252937,96.48475328718521,-707.3242851881811
-7,219.72377796733016,203.5126341345893,218.54376306795254,99.01820381106671,-27.718900213460678,3.102581114945065,-129421.84451261384,-24.559400174907726,85.32622388085537,26.272027402381497,8935.198422085738,0.05030797410552257,0.11732096561082406,110.60465531158908,-78234.70374886955,102.87160990569045,92.59561567670791,110.60472897528686,88.27171204841396,73.51713218554829,0.06612680874421786,-15.638921347304214,-73.94262318298733,66.7900394552819,-1258.0909799240417,96.4969923984571,-707.3359744532265
-6,252.29850119731964,219.95354365201223,573.1554056042468,95.37923376734665,-22.89841235531838,-10.917504864754463,-128534.96136507147,-24.570840340621967,85.32845740712615,26.272145109231523,8937.451945845554,0.05788565375395172,0.11584224090997423,110.60457735830359,-78236.17757923655,98.69512366329094,92.60074215234236,110.60465316966847,96.35096962430947,73.51799477684236,0.06708387077835617,-13.499934268090186,-73.93592800195339,63.448984056478864,-1302.343586939334,96.51598613693702,-707.3497844545618
